#,STATUS,DeliveryReference,ASN_Number,DeliveryDate,Last_Saved,UpdatedByName,Grid_No,Total_Operatives,TotalShortRows,TotalExtraRows,Supplier_Code,Supplier_Name,SHIFT,Due_Time,Calc_Hours,Total_Hours,Pallets_Due,Cartons_Due,Origin,Expected_Lines,Expected_Cases,Actual_Cases,Estimated_Totes,Estimated_Cages,Estimated_Pallets,ArrivalTime,GRN_Number
58,ROLLED,50376,Y0160989,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,JBL0101,JUST BOOTS LIMITED,DAY,12:30:00,25,0,9,0,UK,61,7849,7849,226,8,0,01/01/1970 00:00,
59,ROLLED,53545,Y0161083,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,JJL0201,JOHN JORDAN LIMITED,LATE,15:00 TO 17:00,1,0,0,4,UK,3,48,48,3,1,0,01/01/1970 00:00,
60,ROLLED,IN120868,Y0161264,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,JRP0101,JRP DISTRIBUTION LTD,LATE,UNBOOKED,3,0,0,7, ,30,271,271,1,0,0,01/01/1970 00:00,
61,ROLLED,IN117878,Y0161124,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,KAR0301,KARCHER (UK) LTD,LATE,UNBOOKED,0,0,0,1,UK,1,3,3,0,1,0,01/01/1970 00:00,
62,ROLLED,51928,Y0160977,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,HOL0501,HOLT LLOYD,LATE,18:00:00,21,0,18,0,UK,24,4803,4803,20,6,9,01/01/1970 00:00,
63,ROLLED,53622,Y0161147,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,HUQ0101,HUAQING AUTOM. PARTS IND. CO. LTD,NIGHT,EXCESSREPORTED,0,0,0,0,China,1,18,18,0,0,1,01/01/1970 00:00,
64,ROLLED,49532,Y0161047,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,HUT0201,HUTCHINSON,LATE,16:00:00,5,0,3,0,France,33,481,481,24,4,0,01/01/1970 00:00,
65,ROLLED,49975,Y0160382,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,GRE1001,GREENCHEM,LATE,20:00:00,19,0,33,0,UK,6,3654,3654,0,9,27,01/01/1970 00:00,
66,ROLLED,50084,Y0161231-Y0161232,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,HEL0401,HELLA (UK) LTD.,DAY,10:30:00,15,0,10,0,UK,35,2189,2189,133,3,1,01/01/1970 00:00,
67,ROLLED,50398,Y0161177,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,EUS0201,EUROPEAN SPRINGS & PRESSINGS LIMITE,LATE,17:30:00,17,0,32,0,UK,16,2448,2448,150,20,25,01/01/1970 00:00,
68,ROLLED,50389,Y0161119,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,FOO0101,FOOTSURE WESTERN LTD,DAY,09:00 TO 12:00,2,0,0,13,UK,8,109,109,18,2,0,01/01/1970 00:00,
69,ROLLED,50205,Y0161007,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,FOU0301,FOURSTONES PAPER MILL CO.LTD,DAY,13:00:00,10,0,1,0,UK,2,1536,1536,87,0,12,01/01/1970 00:00,
70,ROLLED,50393,Y0161071,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,COM1501,COMPLETE STEERING,DAY,11:00:00,1,0,7,0,UK,2,68,68,0,0,6,01/01/1970 00:00,
71,ROLLED,51920,Y0161057,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,DOB0201,DE OLIBRION,LATE,18:00:00,18,0,57,0,Holland,3,4788,4788,0,0,56,01/01/1970 00:00,
72,ROLLED,50385,Y0161127,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,DOB0201,DE OLIBRION,NIGHT,21:00:00,24,0,57,0,Holland,19,6084,6084,98,0,47,01/01/1970 00:00,
73,ROLLED,IN120638,Y0161262,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,DYN0401,DYNOMEC LTD,LATE,UNBOOKED,2,0,0,1,UK,1,500,500,1,0,0,01/01/1970 00:00,
74,ROLLED,53542,Y0161063,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,CAP1137,CAPELLA SOLUTIONS GROUP (PAINT),LATE,16:30:00,8,0,3,0,UK,5,4338,4338,0,0,5,01/01/1970 00:00,
75,ROLLED,53535,Y0161165,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,CLX0101,CLOROX EUROPE LIMITED (ARMORED AUTO),DAY,13:00:00,2,0,1,0,UK,2,540,540,8,0,0,01/01/1970 00:00,
76,ROLLED,IN120178,Y0161266,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,CML0301,CENTRAL MODELS LTD T/A CML DISTRIBU,LATE,UNBOOKED,1,0,0,21,UK,5,48,48,0,2,0,01/01/1970 00:00,
77,ROLLED,53538,Y0161045,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,BRM0301,BREMI FAHRZEUG-ELEKTRIK GMBH & CO,LATE,15:00:00,2,0,1,0,Germany,15,205,205,11,1,0,01/01/1970 00:00,
78,ROLLED,47907,Y0161174,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,CAP0101,CAPRICORN CAR PARTS LIMITED,LATE,15:00 TO 17:00,2,0,0,1,UK,12,167,167,8,1,0,01/01/1970 00:00,
79,ROLLED,50360,Y0161054,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,BOD0201,BM POLYCO LTD,LATE,17:00:00,111,0,37,0,UK,3,24000,24000,600,0,32,01/01/1970 00:00,
80,ROLLED,53322,Y0160997,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,BOG0701,ZF TRADING UK LTD,LATE,18:00:00,24,0,73,0,Germany,60,1773,1773,75,25,51,01/01/1970 00:00,
81,ROLLED,CON0096,Y0160837,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,BAT0501,FSCU3596340,LATE,17:30:00,10,0,28,0,,1,1512,1512,0,0,28,01/01/1970 00:00,
82,ROLLED,CON2547,Y0160714,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,BIG0101,MRKU9433448,NIGHT,23:45:00,12,0,0,690,,1,690,690,0,0,39,01/01/1970 00:00,
83,ROLLED,CON2585,Y0161152,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,ALT0201,TCLU3923709,LATE,20:30:00,7,0,28,0,CHINA,1,1008,1008,0,0,28,01/01/1970 00:00,
84,ROLLED,CON2373,Y0160741,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,ARR0201,ZCSU2685320,LATE,16:30:00,37,0,27,0,Israel,32,11208,11208,336,1,20,01/01/1970 00:00,
85,ROLLED,50378,Y0161111,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,ALP0301,ALPHA PACKAGING,DAY,12:30:00,4,0,4,0,UK,6,676,676,0,1,8,01/01/1970 00:00,
86,ROLLED,CON2584,Y0161151,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,ALT0201,CMAU0163260,LATE,19:30:00,7,0,28,0,CHINA,1,1008,1008,0,0,28,01/01/1970 00:00,
87,ROLLED,53536,Y0161041,10/01/2019 00:00,10/01/2019 06:10,,,0,0,0,ALD0101,ALCAR WHEELWRIGHT LIMITED,LATE,15:00:00,0,0,1,0, ,2,4,4,0,1,0,01/01/1970 00:00,
